id,name,degree,peel,diversity,betweenness,pagerank
0,Addam Marbrand,12,10,1.198849313,0.000469682,0.000813212
1,Aegon Frey (son of Stevron),4,4,1.039720771,0,0.000410273
2,Aegon I Targaryen,9,5,1.464816385,0.006891002,0.001100074
3,Aegon Targaryen (son of Rhaegar),15,7,1.801892401,0.006012167,0.002093592
4,Aegon V Targaryen,1,1,0,0,0.000255747
5,Aemon Targaryen (Dragonknight),1,1,0,0,0.000220526
6,Aemon Targaryen (Maester Aemon),26,8,1.751052605,0.019000091,0.005212806
7,Aenys Frey,4,3,1.386294361,0.000811867,0.000587833
8,Aeron Greyjoy,15,5,1.748970751,0.012935047,0.004498805
9,Aerys I Targaryen,1,1,0,0,0.000215297
10,Aerys II Targaryen,19,10,1.70407034,0.014068789,0.002867744
11,Aggar,4,2,1.039720771,0.007996771,0.001118448
12,Aggo,10,8,0.940447989,0.000100433,0.001520208
13,Alayaya,4,3,1.039720771,0.002515723,0.000547053
14,Albett,3,3,0.636514168,0,0.000332455
15,Alebelly,4,3,1.386294361,7.13E-06,0.000451938
16,Alerie Hightower,2,2,0,0,0.000245362
17,Alester Florent,7,6,1.351783994,0.000362833,0.000742177
18,Alla Tyrell,5,4,1.33217904,1.18E-05,0.000754206
19,Allar Deem,2,2,0.693147181,0,0.000257008
20,Allard Seaworth,3,2,1.098612289,1.67E-05,0.000495025
21,Alleras,8,4,0.900256051,0.014199147,0.001749233
22,Alliser Thorne,15,8,1.487816716,0.002217858,0.001928278
23,Alyn,5,5,1.33217904,2.30E-05,0.000538663
24,Alys Arryn,2,1,0.693147181,0.002515723,0.000649616
25,Alys Karstark,3,3,1.098612289,0,0.00050154
26,Alysane Mormont,3,3,1.098612289,0,0.000720381
27,Amabel,2,2,0.693147181,0,0.000431671
28,Amerei Frey,3,3,1.098612289,2.30E-06,0.000412983
29,Amory Lorch,20,12,1.344257669,0.001181454,0.00122693
30,Anders Yronwood,2,2,0.693147181,1.66E-05,0.000280168
31,Andrew Estermont,3,2,1.098612289,0.002515723,0.000589546
32,Andrey Dalt,5,5,0.950270539,4.10E-05,0.000832746
33,Anguy,9,6,1.735126457,0.001262506,0.001294206
34,Anya Waynwood,7,4,0.79631164,0.000583944,0.001147792
35,Archibald Yronwood,4,4,0.562335145,2.38E-06,0.000918824
36,Ardrian Celtigar,1,1,0,0,0.000432511
