Year,Date,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Datetime,Day,Time,Month
2001,2001-01-01 00:01:00,2422500,HH741817,2001-01-01,045XX W WRIGHTWOOD AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,OTHER,False,False,2521,25.0,31.0,20.0,02,1145370.0,1917166.0,2001,08/17/2015 03:03:40 PM,41.928704261,-87.741233939,"(41.928704261, -87.741233939)",2001-01-01 00:01:00,Monday,00:01:00,1
2001,2001-12-05 13:30:00,1881986,G729056,2001-12-05,022XX S STATE ST,0460,BATTERY,SIMPLE,RESIDENCE,True,True,134,1.0,3.0,33.0,08B,1176630.0,1889325.0,2001,08/17/2015 03:03:40 PM,41.851657294,-87.627206314,"(41.851657294, -87.627206314)",2001-12-05 13:30:00,Wednesday,13:30:00,12
2001,2001-07-05 12:00:00,2424125,HH741269,2001-07-05,011XX S HAMILTON AVE,1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,GOVERNMENT BUILDING/PROPERTY,True,False,1224,12.0,2.0,28.0,17,1162078.0,1895097.0,2001,08/17/2015 03:03:40 PM,41.867812172,-87.680454569,"(41.867812172, -87.680454569)",2001-07-05 12:00:00,Thursday,12:00:00,7
2001,2001-01-01 23:59:00,3592403,HK684845,2001-01-01,081XX S THROOP ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,False,613,6.0,21.0,71.0,02,1169040.0,1850614.0,2001,03/31/2006 10:03:38 PM,41.745597846,-87.656182576,"(41.745597846, -87.656182576)",2001-01-01 23:59:00,Monday,23:59:00,1
2001,2001-01-01 09:00:00,7688085,HS494296,2001-01-01,020XX N KEELER AVE,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,APARTMENT,False,True,2522,25.0,30.0,20.0,02,1148008.0,1913380.0,2001,10/15/2010 12:49:27 AM,41.918264726,-87.731637693,"(41.918264726, -87.731637693)",2001-01-01 09:00:00,Monday,09:00:00,1
2001,2001-05-18 00:00:00,1535747,G287708,2001-05-18,045XX W MARQUETTE RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,833,8.0,13.0,65.0,07,1147113.0,1859746.0,2001,03/31/2006 10:03:38 PM,41.771103071,-87.736295908,"(41.771103071, -87.736295908)",2001-05-18 00:00:00,Friday,00:00:00,5
2001,2001-10-16 16:30:00,1797123,G623208,2001-10-16,051XX S KEELER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,815,8.0,23.0,57.0,07,1149193.0,1870240.0,2001,08/17/2015 03:03:40 PM,41.79986039,-87.728400626,"(41.79986039, -87.728400626)",2001-10-16 16:30:00,Tuesday,16:30:00,10
2001,2001-01-01 00:01:00,4237450,HL556991,2001-01-01,016XX W 21ST PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,1222,12.0,25.0,31.0,06,1165435.0,1889837.0,2001,03/31/2006 10:03:38 PM,41.853307537,-87.668280034,"(41.853307537, -87.668280034)",2001-01-01 00:01:00,Monday,00:01:00,1
2001,2001-12-01 10:30:00,1876454,G720954,2001-12-01,012XX N LARRABEE ST,031A,ROBBERY,ARMED - HANDGUN,CHA HALLWAY / STAIRWELL / ELEVATOR,False,False,1822,18.0,27.0,8.0,03,1172063.0,1908604.0,2001,03/21/2020 03:44:56 PM,41.904662004,-87.643399403,"(41.904662004, -87.643399403)",2001-12-01 10:30:00,Saturday,10:30:00,12
2001,2001-11-01 00:01:00,2122506,HH356004,2001-11-01,021XX N KEDZIE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1414,14.0,35.0,22.0,06,1154738.0,1913872.0,2001,08/17/2015 03:03:40 PM,41.919482582,-87.706897864,"(41.919482582, -87.706897864)",2001-11-01 00:01:00,Thursday,00:01:00,11
