,id,value
0,all.degree4.peel5.pagerank2.diversity3,1.198849313
1,all.degree3.peel5.pagerank2.diversity4.betweenness3,1.039720771
2,all.degree4.peel2.pagerank3.diversity3.betweenness5,1.464816385
3,all.degree4.peel3.pagerank4.diversity5.betweenness5,1.801892401
6,all.degree5.peel3.pagerank4.diversity3.betweenness4,1.751052605
7,all.degree3.peel4.pagerank4.diversity5.betweenness3,1.386294361
8,all.degree4.peel2.pagerank6.diversity3,1.748970751
10,all.degree4.peel5.pagerank5,1.70407034
11,all.degree3.peel3,1.039720771
12,all.degree4.peel4.pagerank3.diversity2.betweenness3,0.940447989
13,all.degree3.peel4.pagerank4.diversity3.betweenness6,1.039720771
14,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
15,all.degree3.peel4.pagerank3.diversity5.betweenness3,1.386294361
17,all.degree3.peel6.pagerank3.diversity4.betweenness3,1.351783994
18,all.degree3.peel5.pagerank4.diversity4.betweenness3,1.33217904
19,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
20,all.degree3.peel3.pagerank4.diversity5.betweenness4,1.098612289
21,all.degree4.peel2.pagerank4.diversity3,0.900256051
22,all.degree4.peel4.pagerank4.diversity4.betweenness5,1.487816716
23,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.33217904
24,all.degree3.peel2.pagerank5.diversity5.betweenness2.betweenness3,0.693147181
25,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
26,all.degree3.peel4.pagerank4.diversity4.betweenness3,1.098612289
27,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
28,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
29,all.degree5.peel4.pagerank2.diversity3,1.344257669
30,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
31,all.degree3.peel3.pagerank5.diversity4.betweenness4,1.098612289
32,all.degree3.peel5.pagerank4.diversity3.betweenness3,0.950270539
33,all.degree4.peel3.pagerank3.diversity4.betweenness4,1.735126457
34,all.degree3.peel5.pagerank5.diversity3.betweenness4,0.79631164
35,all.degree3.peel5.pagerank4.diversity2.betweenness3,0.562335145
37,all.degree4.peel3.pagerank4.diversity3.betweenness2,1.522955068
38,all.degree5.peel2,2.029682547
39,all.degree3.peel5.pagerank5.diversity2.betweenness3,0.450561209
40,all.degree3.peel5.pagerank4.diversity5.betweenness4,1.609437912
42,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
44,all.degree4.peel3.pagerank3.diversity3.betweenness3,1.213007566
46,all.degree3.peel4.pagerank6.diversity4.betweenness5,1.609437912
48,all,2.332991632
49,all.degree4.peel3.pagerank3.diversity4.betweenness5,1.522955068
50,all.degree5.peel1.pagerank3,1.809598882
52,all.degree4.peel4.pagerank2.diversity5.betweenness4,1.522955068
53,all.degree4.peel3.pagerank4.diversity5.betweenness3,1.83437197
56,all.degree3.peel5.pagerank3.diversity2.betweenness3,0.562335145
58,all.degree3.peel3.pagerank5.diversity4.betweenness4,1.098612289
59,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
60,all.degree4.peel3.pagerank5.diversity1,1.118968867
61,all.degree4.peel5.pagerank2.diversity4,1.541976433
62,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
63,all.degree3.peel5.pagerank4.diversity4.betweenness3,1.329661349
64,all.degree6.peel4.pagerank4.diversity4,2.153082
67,all.degree3.peel5.pagerank2.diversity3.betweenness3,0.500402424
68,all.degree3.peel5.pagerank3.diversity2.betweenness3,0.693147181
70,all.degree4.peel4.pagerank4.diversity4.betweenness2,1.410513557
71,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
72,all.degree4.peel3.pagerank3.diversity4.betweenness4,1.676987774
73,all.degree3.peel5.pagerank3.diversity2.betweenness6,0.500402424
74,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.386294361
75,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
76,all.degree3.peel4.pagerank4.diversity3.betweenness3,1.039720771
77,all.degree4.peel4.pagerank3.diversity4.betweenness5,1.593424237
78,all.degree4.peel5.pagerank4.diversity2,1.351039416
80,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
81,all.degree3.peel5.pagerank4.diversity3.betweenness3,1.054920168
84,all.degree3.peel5.pagerank2.diversity5.betweenness5,1.386294361
85,all.degree3.peel5.pagerank3.diversity5.betweenness5,1.609437912
87,all.degree4.peel5.pagerank3.diversity3,1.536722469
88,all.degree4.peel4.pagerank4.diversity4.betweenness3,1.428055769
89,all,2.160724355
90,all.degree3.peel2.pagerank5.diversity5.betweenness2.betweenness3,0.693147181
91,all.degree4.peel3.pagerank3.diversity3.betweenness3,1.213007566
92,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.636514168
93,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
95,all.degree6.peel4.pagerank5.diversity4,2.208504507
96,all.degree5.peel4.pagerank4.diversity4.betweenness3,2.033458636
97,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
98,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
99,all.degree3.peel4.pagerank5.diversity4.betweenness5,1.33217904
100,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
101,all.degree4.peel5.pagerank4.diversity4.betweenness3,1.986266518
